Pick Number,Team,Player Name,Rank,Position,Team,Projected Fantasy PT
1,Owner-#1,,,,,
2,Owner-#2,,,,,
3,Owner-#3,,,,,
4,Owner-#4,,,,,
5,Owner-#5,,,,,
6,Owner-#6,,,,,
7,Owner-#7,,,,,
8,Owner-#8,,,,,
9,Owner-#9,,,,,
10,Owner-#10,,,,,
11,***USER-TEAM***,,,,,
12,Owner-#12,,,,,
13,Owner-#13,,,,,
14,Owner-#14,,,,,
15,Owner-#14,,,,,
16,Owner-#13,,,,,
17,Owner-#12,,,,,
18,***USER-TEAM***,,,,,
19,Owner-#10,,,,,
20,Owner-#9,,,,,
21,Owner-#8,,,,,
22,Owner-#7,,,,,
23,Owner-#6,,,,,
24,Owner-#5,,,,,
25,Owner-#4,,,,,
26,Owner-#3,,,,,
27,Owner-#2,,,,,
28,Owner-#1,,,,,
29,Owner-#1,,,,,
30,Owner-#2,,,,,
31,Owner-#3,,,,,
32,Owner-#4,,,,,
33,Owner-#5,,,,,
34,Owner-#6,,,,,
35,Owner-#7,,,,,
36,Owner-#8,,,,,
37,Owner-#9,,,,,
38,Owner-#10,,,,,
39,***USER-TEAM***,,,,,
40,Owner-#12,,,,,
41,Owner-#13,,,,,
42,Owner-#14,,,,,
43,Owner-#14,,,,,
44,Owner-#13,,,,,
45,Owner-#12,,,,,
46,***USER-TEAM***,,,,,
47,Owner-#10,,,,,
48,Owner-#9,,,,,
49,Owner-#8,,,,,
50,Owner-#7,,,,,
51,Owner-#6,,,,,
52,Owner-#5,,,,,
53,Owner-#4,,,,,
54,Owner-#3,,,,,
55,Owner-#2,,,,,
56,Owner-#1,,,,,
57,Owner-#1,,,,,
58,Owner-#2,,,,,
59,Owner-#3,,,,,
60,Owner-#4,,,,,
61,Owner-#5,,,,,
62,Owner-#6,,,,,
63,Owner-#7,,,,,
64,Owner-#8,,,,,
65,Owner-#9,,,,,
66,Owner-#10,,,,,
67,***USER-TEAM***,,,,,
68,Owner-#12,,,,,
69,Owner-#13,,,,,
70,Owner-#14,,,,,
71,Owner-#14,,,,,
72,Owner-#13,,,,,
73,Owner-#12,,,,,
74,***USER-TEAM***,,,,,
75,Owner-#10,,,,,
76,Owner-#9,,,,,
77,Owner-#8,,,,,
78,Owner-#7,,,,,
79,Owner-#6,,,,,
80,Owner-#5,,,,,
81,Owner-#4,,,,,
82,Owner-#3,,,,,
83,Owner-#2,,,,,
84,Owner-#1,,,,,
85,Owner-#1,,,,,
86,Owner-#2,,,,,
87,Owner-#3,,,,,
88,Owner-#4,,,,,
89,Owner-#5,,,,,
90,Owner-#6,,,,,
91,Owner-#7,,,,,
92,Owner-#8,,,,,
93,Owner-#9,,,,,
94,Owner-#10,,,,,
95,***USER-TEAM***,,,,,
96,Owner-#12,,,,,
97,Owner-#13,,,,,
98,Owner-#14,,,,,
99,Owner-#14,,,,,
100,Owner-#13,,,,,
101,Owner-#12,,,,,
102,***USER-TEAM***,,,,,
103,Owner-#10,,,,,
104,Owner-#9,,,,,
105,Owner-#8,,,,,
106,Owner-#7,,,,,
107,Owner-#6,,,,,
108,Owner-#5,,,,,
109,Owner-#4,,,,,
110,Owner-#3,,,,,
111,Owner-#2,,,,,
112,Owner-#1,,,,,
113,Owner-#1,,,,,
114,Owner-#2,,,,,
115,Owner-#3,,,,,
116,Owner-#4,,,,,
117,Owner-#5,,,,,
118,Owner-#6,,,,,
119,Owner-#7,,,,,
120,Owner-#8,,,,,
121,Owner-#9,,,,,
122,Owner-#10,,,,,
123,***USER-TEAM***,,,,,
124,Owner-#12,,,,,
125,Owner-#13,,,,,
126,Owner-#14,,,,,
127,Owner-#14,,,,,
128,Owner-#13,,,,,
129,Owner-#12,,,,,
130,***USER-TEAM***,,,,,
131,Owner-#10,,,,,
132,Owner-#9,,,,,
133,Owner-#8,,,,,
134,Owner-#7,,,,,
135,Owner-#6,,,,,
136,Owner-#5,,,,,
137,Owner-#4,,,,,
138,Owner-#3,,,,,
139,Owner-#2,,,,,
140,Owner-#1,,,,,
141,Owner-#1,,,,,
142,Owner-#2,,,,,
143,Owner-#3,,,,,
144,Owner-#4,,,,,
145,Owner-#5,,,,,
146,Owner-#6,,,,,
147,Owner-#7,,,,,
148,Owner-#8,,,,,
149,Owner-#9,,,,,
150,Owner-#10,,,,,
151,***USER-TEAM***,,,,,
152,Owner-#12,,,,,
153,Owner-#13,,,,,
154,Owner-#14,,,,,
155,Owner-#14,,,,,
156,Owner-#13,,,,,
157,Owner-#12,,,,,
158,***USER-TEAM***,,,,,
159,Owner-#10,,,,,
160,Owner-#9,,,,,
161,Owner-#8,,,,,
162,Owner-#7,,,,,
163,Owner-#6,,,,,
164,Owner-#5,,,,,
165,Owner-#4,,,,,
166,Owner-#3,,,,,
167,Owner-#2,,,,,
168,Owner-#1,,,,,
169,Owner-#1,,,,,
170,Owner-#2,,,,,
171,Owner-#3,,,,,
172,Owner-#4,,,,,
173,Owner-#5,,,,,
174,Owner-#6,,,,,
175,Owner-#7,,,,,
176,Owner-#8,,,,,
177,Owner-#9,,,,,
178,Owner-#10,,,,,
179,***USER-TEAM***,,,,,
180,Owner-#12,,,,,
181,Owner-#13,,,,,
182,Owner-#14,,,,,
***USER-TEAM***,1,Bradley Beal,57.0
